run_id,is_enabled,status,model_family,model_name,regime,source_checkpoint_family,source_domain,base_checkpoint,target_dataset,calibration_dataset,eval_dataset,eval_split,adapter_type,lora_enabled,lora_preset,lora_shots,comparison_group,output_dir,primary_metric,primary_metric_value,delta_from_zero_shot,edge_ap,edge_ods_f1,edge_ois_f1,checkpoint_out,notes,error_message,metrics_source,metric_keys
synthetic_diffedge_rwtd_zs,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,false,,0,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_zs,edge/AP,0.4133136333801348,0.0,0.4133136333801348,0.5919612276783528,0.5939763554497497,,0-shot RWTD eval without LoRA,,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_zs/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
synthetic_diffedge_rwtd_loraC_1shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,true,C,1,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_1shot,edge/AP,0.4211510540883346,0.00783742070819976,0.4211510540883346,0.5992673677535232,0.6004998036059294,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_1shot/checkpoints/lora-best_step1700.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=1, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_1shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
synthetic_diffedge_rwtd_loraC_4shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,true,C,4,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_4shot,edge/AP,0.4494530832177026,0.03613944983756778,0.4494530832177026,0.6151079449703032,0.6168301635609039,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_4shot/checkpoints/lora-best_step1500.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=4, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_4shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
synthetic_diffedge_rwtd_loraC_16shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,true,C,16,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_16shot,edge/AP,0.4772408160307737,0.06392718265063885,0.4772408160307737,0.640430096052917,0.6426269959659286,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_16shot/checkpoints/lora-best_step3400.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=16, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_16shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
synthetic_diffedge_rwtd_loraC_32shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,true,C,32,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_32shot,edge/AP,0.47283109460397776,0.05951746122384294,0.47283109460397776,0.6429086113728528,0.6435076660424441,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_32shot/checkpoints/lora-best_step3800.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=32, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_32shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
synthetic_diffedge_rwtd_loraC_64shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,synthetic_diffedge,synthetic,training/synthetic_food_stitched/model-last.pt,RWTD,RWTD,RWTD,test,lora,true,C,64,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_64shot,edge/AP,0.4845389167287387,0.0712252833486039,0.4845389167287387,0.6540003245449116,0.6547374791120155,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_64shot/checkpoints/lora-best_step3800.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=64, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_64shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
wildbsds_diffedge_rwtd_zs,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,false,,0,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_zs,edge/AP,0.5652639098849919,0.0,0.5652639098849919,0.6646136221777303,0.6902670666878398,,0-shot RWTD eval without LoRA,,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_zs/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
wildbsds_diffedge_rwtd_loraC_1shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,true,C,1,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_1shot,edge/AP,0.5611637292244767,-0.004100180660515207,0.5611637292244767,0.6650283078718088,0.6879433244587889,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_1shot/checkpoints/lora-best_step100.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=1, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_1shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
wildbsds_diffedge_rwtd_loraC_4shot,true,done,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,true,C,4,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_4shot,edge/AP,0.5567271346529664,-0.00853677523202545,0.5567271346529664,0.6662419840104354,0.6916008551461064,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_4shot/checkpoints/lora-best_step100.pt,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=4, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_4shot/metrics.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
wildbsds_diffedge_rwtd_loraC_16shot,true,running,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,true,C,16,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_16shot,edge/AP,0.565425823698356,0.00016191381336416732,0.565425823698356,0.6741621502046234,0.6956140107219243,,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=16, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_16shot/checkpoints/performance_summary.json,"edge/AP,edge/ODS_f1,edge/ODS_precision,edge/ODS_recall,edge/ODS_threshold,edge/OIS_f1,edge/OIS_precision,edge/OIS_recall"
wildbsds_diffedge_rwtd_loraC_32shot,true,pending,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,true,C,32,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_32shot,edge/AP,,,,,,,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=32, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",No metrics artifact found,,
wildbsds_diffedge_rwtd_loraC_64shot,true,pending,diffusionedge,cond_unet,rwtd_lora_calibration,wild_bsds_diffedge,bsds_wild,./training/BSDS_swin_unet12_disloss_bs2x8/model-best.pt,RWTD,RWTD,RWTD,test,lora,true,C,64,diffedge_rwtd_loraC_main,runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_64shot,edge/AP,,,,,,,"Few-shot RWTD LoRA calibration (Preset C) with sample cap data.max_train_samples=64, train_num_steps=4000, lora_r=128, lora_alpha=128.0; then RWTD test eval",No metrics artifact found,,
